text,intent
"i am afraid of rejection",SocialAnxiety
"ajnabi logon se kaise milun?",SocialAnxiety
"i don't know how to start a conversation",SocialAnxiety
"social life bilkul zero hai",SocialAnxiety
"groups mein chup rehta hoon hamesha",SocialAnxiety
"introvert hona problem ban gaya hai",SocialAnxiety
"crowded places mein panic hota hai",SocialAnxiety
I want to learn something new but don’t know where to start,Learning
I want to learn something new but don't know where to start.,Learning
"I want to learn something new, but don't know where to start.",Learning
I want to learn something new. I don't know where to start.,Learning
I have an exam tomorrow and I’m not prepared,Learning
I have an exam tomorrow and I am not prepared for it. What should I do?,Learning
I have an exam tomorrow and I am not prepared for it. How can I do it?,Learning
I have an exam tomorrow and I am not prepared for it. How can I prepare for it?,Learning
I want to improve my skills but feel lost,Learning
I want to improve my skills but feel lost.,Learning
I want to improve my skills but I feel lost.,Learning
"I want to improve my skills, but I feel lost.",Learning
I want to study a new topic but I don’t have a plan,Learning
I want to study a new topic but I don’t have a plan. What should I do?,Learning
I want to study a new topic but I don’t have a plan. I want to study a new topic but I don’t have a plan.,Learning
I want to study a new topic but I don’t have a plan. I want to study a new topic but I don’t have a plan. What should I do?,Learning
I feel like I’m not learning anything useful,Learning
I feel like I’m not learning anything useful.,Learning
I feel like I'm not learning anything useful.,Learning
I feel like I am not learning anything useful.,Learning
I want to become a better student,Learning
How do I become a better student?,Learning
How can I be a better student?,Learning
How can I become a better student?,Learning
I need help understanding a concept,Learning
What is the best way to understand a concept?,Learning
How do I understand a concept?,Learning
How can I understand a concept?,Learning
I want to learn but I feel demotivated,Learning
I want to learn but I feel demotivated.,Learning
"I want to learn, but I feel demotivated.",Learning
I want to learn but feel demotivated.,Learning
I want to learn a new skill for career growth,Learning
I want to learn a new skill for career growth. I want to learn a new skill for career growth.,Learning
I want to learn a new skill for career growth.,Learning
I want to learn a new skill for career growth. I want to learn a new skill for career growth. I want to learn a new skill for career growth.,Learning
I want to improve my grades,Learning
How can I improve my grades?,Learning
How can I get better grades?,Learning
How do I get better grades?,Learning
I need a job,Career
I need a job. I need a job. I need a job. I need a job. I need a job. I need a job. I need a job. I need a job. I need a job. I need a job. I need a job. I need a job. I need a job. I need a job. I need a job. I need a job. I need a job. I need a job. I need a job,Career
I need a job. I need a job. I need a job. I need a job. I need a job. I need a job. I need a job. I need a job. I need a job. I need a job. I need a job. I need a job. I need a job. I need a job. I need a job. I need a job. I need a job. I need a job.,Career
I need a job. I need a job. I need a job. I need a job. I need a job. I need a job. I need a job. I need a job. I need a job. I need a job. I need a job. I need a job. I need a job. I need a job. I need a job. I need a job. I need a job. I want a job. I need a job,Career
I want to start earning money,Career
How do I start earning money?,Career
I want to start earning money. How can I do that?,Career
How can I start earning money?,Career
I am worried about my career path,Career
What should I do if I am worried about my career path?,Career
I am worried about my career path. What should I do?,Career
I'm worried about my career path. What should I do?,Career
I don’t know which job suits me,Career
I don’t know which job suits me the best.,Career
I don't know which job suits me the best.,Career
I don't know which job suits me best.,Career
I feel stuck in my career,Career
I feel stuck in my career.,Career
Why do I feel stuck in my career?,Career
I feel stuck in my career. I feel stuck in my career.,Career
I want to improve my resume,Career
How can I improve my resume?,Career
How do I improve my resume?,Career
What should I do to improve my resume?,Career
I need help preparing for interviews,Career
How do I prepare for interviews?,Career
How do I prepare for interview?,Career
What should I do to prepare for interviews?,Career
I want to change my career,Career
I want to change my career. What should I do?,Career
I want to change my career. How can I do it?,Career
I want to change my career. How can I do that?,Career
I want to become financially independent,Career
I want to become financially independent. What should I do?,Career
How do I become financially independent?,Career
I want to become financially independent. How can I do this?,Career
I want a job in AI/ML,Career
I want to do a job in AI/ML. What should I do?,Career
I want a job in AI/ML. How can I do it?,Career
I want a job in AI/ML. How can I do that?,Career
I feel stressed and overwhelmed,Stress
I feel stressed and overwhelmed. What should I do?,Stress
I feel overwhelmed and stressed out. What should I do?,Stress
I feel stressed and overwhelmed.,Stress
I am unable to manage my pressure,Stress
I am unable to manage my pressure.,Stress
I am unable to manage my pressure. I am unable to manage my stress.,Stress
I am unable to manage my stress. I am unable to manage my stress.,Stress
I feel like I’m losing control,Stress
I feel like I'm losing control of my emotions.,Stress
I feel like I'm losing control of my life.,Stress
I feel like I’m losing control of my emotions.,Stress
I can’t handle my responsibilities,Stress
I can’t handle my responsibilities. I can’t handle my responsibilities. I can’t handle my responsibilities. I can’t handle my responsibilities. I can’t handle my responsibilities. I can’t handle my responsibilities. I can’t handle my responsibilities. I can’t handle my responsibilities. I can’t handle my responsibilities. I can’t handle my responsibilities. I can’t handle my responsibilities. I can’t handle my responsibilities. I can’t handle,Stress
I can’t handle my responsibilities. I can’t handle my responsibilities. I can’t handle my responsibilities. I can’t handle my responsibilities. I can’t handle my responsibilities. I can’t handle my responsibilities. I can’t handle my responsibilities. I can’t handle my responsibilities. I can’t handle my responsibilities. I can’t handle my responsibilities. I can’t handle my responsibilities. I can’t handle my responsibilities.,Stress
I can't handle my responsibilities. I can't handle my responsibilities. I can't handle my responsibilities. I can't handle my responsibilities. I can't handle my responsibilities. I can't handle my responsibilities. I can't handle my responsibilities. I can't handle my responsibilities. I can't handle my responsibilities. I can't handle my responsibilities. I can't handle my responsibilities. I can't handle my responsibilities. I can't handle,Stress
I feel mentally exhausted,Stress
I feel mentally and physically exhausted.,Stress
I feel mentally exhausted. What should I do?,Stress
I feel mentally exhausted.,Stress
I am getting anxious every day,Stress
I'm getting anxious every day. What should I do?,Stress
I am getting anxious every day. How can I stop myself from getting anxious?,Stress
I am getting anxious every day.,Stress
I feel like I am failing,Stress
I feel like I am failing.,Stress
I feel like I am failing. What should I do?,Stress
I feel like I'm failing.,Stress
I feel tense all the time,Stress
I feel tense all the time.,Stress
I feel so tense all the time.,Stress
I feel very tense all the time.,Stress
I am under a lot of stress,Stress
I am under a lot of stress.,Stress
I am under a lot of stress. What should I do?,Stress
I am under a lot of stress right now.,Stress
I can’t relax,Stress
Why can't I relax?,Stress
I can't relax. I can't.,Stress
I can’t relax. I can’t.,Stress
I want to become my best version,SelfImprovement
I want to be the best version of myself. I want to be the best version of myself. I want to be the best version of myself. I want to be the best version of myself. I want to be the best version of myself. I want to be the best version of myself. I want to be the best version of myself. I want to be the best version of myself. I want to be the best version of myself. I want to be the best version of myself. I want to be the best version of myself. I want to,SelfImprovement
I want to be the best version of myself. I want to be a better version of myself. I want to be a better version of myself. I want to be a better version of myself. I want to be a better version of myself. I want to be a better version of myself. I want to be a better version of myself. I want to be a better version of myself. I want to be a better version of myself. I want to be a better version of myself. I want to be,SelfImprovement
I want to become the best version of myself. I want to be a better version of myself. I want to be a better version of myself. I want to be a better version of myself. I want to be a better version of myself. I want to be a better version of myself. I want to be a better version of myself. I want to be a better version of myself. I want to be a better version of myself. I want to be a better version of myself. I want to be,SelfImprovement
I want to improve my habits,SelfImprovement
How can I improve my habits?,SelfImprovement
What should I do to improve my habits?,SelfImprovement
I want to improve my habits. What should I do?,SelfImprovement
I want to be more disciplined,SelfImprovement
I want to be more disciplined. I want to be more disciplined.,SelfImprovement
I want to be disciplined. I want to be more disciplined.,SelfImprovement
I want to be disciplined. I want to be more disciplined. I want to be more disciplined.,SelfImprovement
I want to improve my personality,SelfImprovement
How can I improve my personality?,SelfImprovement
What should I do to improve my personality?,SelfImprovement
How do I improve my personality?,SelfImprovement
I want to build confidence,SelfImprovement
I want to build confidence. I want to build confidence. I want to build confidence. I want to build confidence. I want to build confidence. I want to build confidence. I want to build confidence. I want to build confidence. I want to build confidence. I want to build confidence. I want to build confidence. I want to build confidence. I want to build confidence. I want to build confidence. I want to build confidence. I want to build confidence. I want to build confidence. I want to build confidence.,SelfImprovement
I want to build confidence. I want to build confidence. I want to build confidence. I want to build confidence. I want to build confidence. I want to build confidence. I want to build confidence. I want to build confidence. I want to build confidence. I want to build confidence. I want to build confidence. I want to build confidence. I want to build confidence. I want to build confidence. I want to build confidence. I want to build confidence. I want to build confidence. I want to build confidence. I want to build confidence,SelfImprovement
I want to build confidence. I want to build confidence. I want to build confidence. I want to build confidence. I want to build confidence. I want to build confidence. I want to build confidence. I want to build confidence. I want to build confidence. I want to build confidence. I want to build confidence. I want to build confidence. I want to build confidence. I want to build confidence. I want to build confidence. I want to build confidence. I want to build confidence.,SelfImprovement
I want to improve my time management,SelfImprovement
How can I improve my time management skills?,SelfImprovement
How can I improve my time management?,SelfImprovement
How do I improve my time management skills?,SelfImprovement
I want to build a better routine,SelfImprovement
I want to build a better routine. I want to build a better routine. I want to build a better routine. I want to build a better routine. I want to build a better routine. I want to build a better routine. I want to build a better routine. I want to build a better routine. I want to build a better routine. I want to build a better routine. I want to build a better routine. I want to build a better routine. I want to build ,SelfImprovement
I want to build a better routine. I want to build a better routine. I want to build a better routine. I want to build a better routine. I want to build a better routine. I want to build a better routine. I want to build a better routine. I want to build a better routine. I want to build a better routine. I want to build a better routine. I want to build a better routine. I want to build a better routine.,SelfImprovement
I want to build a better routine. I want to build a better routine. I want to build a better routine. I want to build a better routine. I want to build a better routine. I want to build a better routine. I want to build a better routine. I want to build a better routine. I want to build a better routine. I want to build a better routine. I want to build a better routine.,SelfImprovement
I want to become more productive,SelfImprovement
How do I become more productive?,SelfImprovement
How can I become more productive?,SelfImprovement
I want to become more productive. I want to become more productive.,SelfImprovement
I want to build good habits,SelfImprovement
How do I build good habits?,SelfImprovement
How can I build good habits?,SelfImprovement
I want to build good habits. What should I do?,SelfImprovement
I want to become a better person,SelfImprovement
I want to be a better person. I want to be a better person.,SelfImprovement
I want to be a better person. I want to become a better person.,SelfImprovement
How do I become a better person?,SelfImprovement
I feel lonely and disconnected,Loneliness
I feel lonely and disconnected.,Loneliness
I feel lonely and disconnected from the world.,Loneliness
I feel lonely. I feel disconnected.,Loneliness
I feel like nobody understands me,Loneliness
I feel like nobody understands me.,Loneliness
Why do I feel like nobody understands me?,Loneliness
I feel like no one understands me.,Loneliness
I feel isolated,Loneliness
I feel isolated.,Loneliness
Why do I feel isolated?,Loneliness
I feel isolated. How can I help myself?,Loneliness
I don’t have anyone to talk to,Loneliness
I don't have anyone to talk to. I don't have anyone to talk to.,Loneliness
I don't have anyone to talk to.,Loneliness
I don’t have anyone to talk to.,Loneliness
I feel alone even in a crowd,Loneliness
I feel alone even in a crowd.,Loneliness
I feel alone in a crowd.,Loneliness
I feel lonely even in a crowd.,Loneliness
I miss my friends,Loneliness
I miss my friends. I miss them. I miss them. I miss them. I miss them. I miss them. I miss them. I miss them. I miss them. I miss them. I miss them. I miss them. I miss them. I miss them. I miss them. I miss them. I miss them. I miss them. I miss them. I miss them. I miss them. I miss them. I miss them. I miss them. I miss them. I miss them. I miss them. I miss them.,Loneliness
I miss my friends. I miss them. I miss them. I miss them. I miss them. I miss them. I miss them. I miss them. I miss them. I miss them. I miss them. I miss them. I miss them. I miss them. I miss them. I miss them. I miss them. I miss them. I miss them. I miss them. I miss them. I miss them. I miss them. I miss them. I miss them. I miss them. I miss them.,Loneliness
I miss my friends. I miss them. I miss them. I miss them. I miss them. I miss them. I miss them. I miss them. I miss them. I miss them. I miss them. I miss them. I miss them. I miss them. I miss them. I miss them. I miss them. I miss them. I miss them. I miss them. I miss them. I miss them. I miss them. I miss them. I miss them. I miss them.,Loneliness
I feel emotionally alone,Loneliness
I feel emotionally alone.,Loneliness
I feel emotionally alone. How do I cope with this?,Loneliness
I feel emotionally alone. How can I overcome this?,Loneliness
I feel ignored,Loneliness
I feel ignored.,Loneliness
Why do I feel ignored?,Loneliness
I feel ignored. Why?,Loneliness
I feel like I don’t belong,Loneliness
I feel like I don't belong anymore.,Loneliness
I feel like I don't belong anywhere.,Loneliness
I feel like I don't belong.,Loneliness
I feel like I have no support,Loneliness
I feel like I have no support.,Loneliness
I feel like I don't have any support.,Loneliness
I feel like I have no support system.,Loneliness
I am facing issues in my relationship,Relationship
I am facing issues in my relationship. I am facing issues in my relationship.,Relationship
I am facing issues in my relationship. I am facing issues in my relationship. I am facing issues in my relationship.,Relationship
I am facing issues in my relationship. I am facing issues in my relationship. I am facing issues in my relationship. I am facing issues in my relationship.,Relationship
I feel disconnected from my partner,Relationship
I feel disconnected from my partner. What should I do?,Relationship
Why do I feel disconnected from my partner?,Relationship
I feel disconnected from my partner.,Relationship
I don’t know how to communicate with my partner,Relationship
How do I communicate with my partner?,Relationship
How can I communicate with my partner?,Relationship
I don't know how to communicate with my partner. What should I do?,Relationship
I feel my partner doesn’t understand me,Relationship
I feel like my partner doesn't understand me.,Relationship
I feel like my partner doesn't understand me. I feel like he doesn't understand me.,Relationship
I feel like my partner doesn't understand me. I feel like he doesn't understand me at all.,Relationship
I am struggling with trust issues,Relationship
I am struggling with trust issues.,Relationship
I am struggling with trust issues. I am struggling with trust issues.,Relationship
I am struggling with trust issues. I am struggling with trust issues. I am struggling with trust issues.,Relationship
I feel emotionally distant from my partner,Relationship
I feel emotionally distant from my partner. What should I do?,Relationship
I feel emotionally distant from my partner.,Relationship
I feel emotionally distant from my partner. How can I help him?,Relationship
I am confused about my relationship,Relationship
I am confused about my relationship with my best friend. What should I do?,Relationship
I am confused about my relationship with my boyfriend. What should I do?,Relationship
I am confused about my relationship with my boyfriend.,Relationship
I feel hurt by my partner’s behavior,Relationship
I feel hurt by my partner’s behavior.,Relationship
Why do I feel hurt by my partner’s behavior?,Relationship
I feel hurt by my partner’s behavior. What should I do?,Relationship
I want to improve my relationship,Relationship
How can I improve my relationship with my boyfriend?,Relationship
How can I improve my relationship with my girlfriend?,Relationship
How do I improve my relationship with my boyfriend?,Relationship
I want advice for my relationship,Relationship
I want advice for my relationship. I'm in a relationship with a girl. I'm in a relationship with a girl. I'm in a relationship with a girl. I'm in a relationship with a girl. I'm in a relationship with a girl. I'm in a relationship with a girl. I'm in a relationship with a girl. I'm in a relationship with a girl. I'm in a relationship.,Relationship
I want advice for my relationship. I'm in a relationship with a girl. I'm in a relationship with a girl. I'm in a relationship with a girl. I'm in a relationship with a girl. I'm in a relationship with a girl. I'm in a relationship with a girl. I'm in a relationship with a girl. I'm in a relationship with a girl. I'm in a relationship with her.,Relationship
I want advice for my relationship. I'm in a relationship with a girl. I'm in a relationship with a girl. I'm in a relationship with a girl. I'm in a relationship with a girl. I'm in a relationship with a girl. I'm in a relationship with a girl. I'm in a relationship with a girl. I'm in a relationship with a girl. I'm in a relationship with a,Relationship
I feel physically tired and weak,Health
I feel physically tired and weak.,Health
I feel physically weak and tired.,Health
Why do I feel so tired and weak?,Health
I am not sleeping well,Health
I am not sleeping well. What should I do?,Health
Why am I not sleeping well?,Health
I am not sleeping well.,Health
I feel low on energy,Health
I feel low on energy. What should I do?,Health
Why do I feel low on energy?,Health
I feel low on energy. How can I overcome this?,Health
I feel like my health is deteriorating,Health
I feel like my health is deteriorating.,Health
Why is my health deteriorating?,Health
I feel like my health is deteriorating. I can't stand it.,Health
I need help improving my health,Health
How can I improve my health?,Health
What should I do to improve my health?,Health
How do I improve my health?,Health
I want to build a healthy lifestyle,Health
How do I build a healthy lifestyle?,Health
How can I build a healthy lifestyle?,Health
I want to build a healthy lifestyle. What should I do?,Health
I feel mentally drained,Health
I feel mentally drained.,Health
I feel mentally drained and depressed.,Health
I feel mentally and physically drained.,Health
I want to improve my diet,Health
How can I improve my diet?,Health
What should I do to improve my diet?,Health
What can I do to improve my diet?,Health
I want to start exercising,Health
How do I start exercising?,Health
I want to start exercising. How can I do that?,Health
I want to start exercising. How can I do this?,Health
I feel unhealthy and anxious,Health
Why do I feel so anxious and unhealthy?,Health
Why do I feel anxious and unhealthy?,Health
I feel unhealthy and anxious.,Health
I am worried about money,Finance
I'm worried about money. I'm worried about it. I'm worried about it. I'm worried about it. I'm worried about it. I'm worried about it. I'm worried about it. I'm worried about it. I'm worried about it. I'm worried about it. I'm worried about it. I'm worried about it. I'm worried about it. I'm worried about it. I'm worried about it.,Finance
I'm worried about money. I'm worried about it. I'm worried about it. I'm worried about it. I'm worried about money. I'm worried about it. I'm worried about it. I'm worried about it. I'm worried about it. I'm worried about it. I'm worried about it. I'm worried about it. I'm worried about it. I'm worried about it. I'm worried about it.,Finance
I'm worried about money. I'm worried about it. I'm worried about it. I'm worried about money. I'm worried about it. I'm worried about it. I'm worried about it. I'm worried about it. I'm worried about it. I'm worried about it. I'm worried about it. I'm worried about it. I'm worried about it. I'm worried about it. I'm worried about it.,Finance
I don’t know how to manage my finances,Finance
How do I manage my finances?,Finance
How can I manage my finances?,Finance
I don't know how to manage my finances. What should I do?,Finance
I want to save money,Finance
How do I save money?,Finance
How can I save money?,Finance
I want to save money. How can I do that?,Finance
I want to invest but I don’t know how,Finance
I want to invest but I don't know how to do it.,Finance
I want to invest but I don't know how to do it. What should I do?,Finance
"I want to invest, but I don't know how to do it.",Finance
I have financial problems,Finance
I have financial problems. What should I do?,Finance
I have financial problems. How can I solve it?,Finance
I have financial problems. How can I solve them?,Finance
I want financial stability,Finance
